Year,City,Population (in Lakhs) (2011)+,Number Of Cases,Type
2014,Ahmedabad,63.5,82,Murder
2015,Ahmedabad,63.5,94,Murder
2016,Ahmedabad,63.5,103,Murder
2017,Ahmedabad,63.5,90,Murder
2018,Ahmedabad,63.5,98,Murder
2019,Ahmedabad,63.5,81,Murder
2020,Ahmedabad,63.5,70,Murder
2021,Ahmedabad,63.5,97,Murder
2014,Bengaluru,85.0,241,Murder
2015,Bengaluru,85.0,235,Murder
2016,Bengaluru,85.0,229,Murder
2017,Bengaluru,85.0,235,Murder
2018,Bengaluru,85.0,218,Murder
2019,Bengaluru,85.0,204,Murder
2020,Bengaluru,85.0,179,Murder
2021,Bengaluru,85.0,155,Murder
2014,Chennai,87.0,161,Murder
2015,Chennai,87.0,149,Murder
2016,Chennai,87.0,133,Murder
2017,Chennai,87.0,154,Murder
2018,Chennai,87.0,172,Murder
2019,Chennai,87.0,172,Murder
2020,Chennai,87.0,150,Murder
2021,Chennai,87.0,161,Murder
2014,Coimbatore,21.5,21,Murder
2015,Coimbatore,21.5,25,Murder
2016,Coimbatore,21.5,27,Murder
2017,Coimbatore,21.5,21,Murder
2018,Coimbatore,21.5,31,Murder
2019,Coimbatore,21.5,39,Murder
2020,Coimbatore,21.5,31,Murder
2021,Coimbatore,21.5,30,Murder
2014,Delhi,163.1,472,Murder
2015,Delhi,163.1,480,Murder
2016,Delhi,163.1,479,Murder
2017,Delhi,163.1,400,Murder
2018,Delhi,163.1,416,Murder
2019,Delhi,163.1,505,Murder
2020,Delhi,163.1,461,Murder
2021,Delhi,163.1,454,Murder
2014,Ghaziabad,23.6,73,Murder
2015,Ghaziabad,23.6,65,Murder
2016,Ghaziabad,23.6,59,Murder
2017,Ghaziabad,23.6,52,Murder
2018,Ghaziabad,23.6,52,Murder
2019,Ghaziabad,23.6,48,Murder
2020,Ghaziabad,23.6,23,Murder
2021,Ghaziabad,23.6,25,Murder
2014,Hyderabad,77.5,118,Murder
2015,Hyderabad,77.5,95,Murder
2016,Hyderabad,77.5,86,Murder
2017,Hyderabad,77.5,64,Murder
2018,Hyderabad,77.5,81,Murder
2019,Hyderabad,77.5,86,Murder
2020,Hyderabad,77.5,71,Murder
2021,Hyderabad,77.5,98,Murder
2014,Indore,21.7,88,Murder
2015,Indore,21.7,61,Murder
2016,Indore,21.7,58,Murder
2017,Indore,21.7,64,Murder
2018,Indore,21.7,57,Murder
2019,Indore,21.7,57,Murder
2020,Indore,21.7,63,Murder
2021,Indore,21.7,54,Murder
2014,Jaipur,30.7,108,Murder
2015,Jaipur,30.7,90,Murder
2016,Jaipur,30.7,97,Murder
2017,Jaipur,30.7,90,Murder
2018,Jaipur,30.7,96,Murder
2019,Jaipur,30.7,93,Murder
2020,Jaipur,30.7,95,Murder
2021,Jaipur,30.7,118,Murder
2014,Kanpur,29.2,56,Murder
2015,Kanpur,29.2,59,Murder
2016,Kanpur,29.2,69,Murder
2017,Kanpur,29.2,51,Murder
2018,Kanpur,29.2,51,Murder
2019,Kanpur,29.2,53,Murder
2020,Kanpur,29.2,41,Murder
2021,Kanpur,29.2,48,Murder
2014,Kochi,21.2,13,Murder
2015,Kochi,21.2,12,Murder
2016,Kochi,21.2,10,Murder
2017,Kochi,21.2,11,Murder
2018,Kochi,21.2,12,Murder
2019,Kochi,21.2,22,Murder
2020,Kochi,21.2,9,Murder
2021,Kochi,21.2,10,Murder
2014,Kolkata,141.1,74,Murder
2015,Kolkata,141.1,65,Murder
2016,Kolkata,141.1,78,Murder
2017,Kolkata,141.1,64,Murder
2018,Kolkata,141.1,55,Murder
2019,Kolkata,141.1,50,Murder
2020,Kolkata,141.1,53,Murder
2021,Kolkata,141.1,45,Murder
2014,Kozhikode,20.3,8,Murder
2015,Kozhikode,20.3,4,Murder
2016,Kozhikode,20.3,3,Murder
2017,Kozhikode,20.3,7,Murder
2018,Kozhikode,20.3,8,Murder
2019,Kozhikode,20.3,7,Murder
2020,Kozhikode,20.3,5,Murder
2021,Kozhikode,20.3,5,Murder
2014,Lucknow,29.0,107,Murder
2015,Lucknow,29.0,99,Murder
2016,Lucknow,29.0,97,Murder
2017,Lucknow,29.0,79,Murder
2018,Lucknow,29.0,84,Murder
2019,Lucknow,29.0,75,Murder
2020,Lucknow,29.0,81,Murder
2021,Lucknow,29.0,101,Murder
2014,Mumbai,184.1,183,Murder
2015,Mumbai,184.1,160,Murder
2016,Mumbai,184.1,147,Murder
2017,Mumbai,184.1,127,Murder
2018,Mumbai,184.1,164,Murder
2019,Mumbai,184.1,168,Murder
2020,Mumbai,184.1,148,Murder
2021,Mumbai,184.1,162,Murder
2014,Nagpur,25.0,103,Murder
2015,Nagpur,25.0,88,Murder
2016,Nagpur,25.0,92,Murder
2017,Nagpur,25.0,85,Murder
2018,Nagpur,25.0,72,Murder
2019,Nagpur,25.0,90,Murder
2020,Nagpur,25.0,97,Murder
2021,Nagpur,25.0,95,Murder
2014,Patna,20.5,205,Murder
2015,Patna,20.5,190,Murder
2016,Patna,20.5,195,Murder
2017,Patna,20.5,183,Murder
2018,Patna,20.5,91,Murder
2019,Patna,20.5,96,Murder
2020,Patna,20.5,79,Murder
2021,Patna,20.5,76,Murder
2014,Pune,50.5,138,Murder
2015,Pune,50.5,125,Murder
2016,Pune,50.5,130,Murder
2017,Pune,50.5,110,Murder
2018,Pune,50.5,73,Murder
2019,Pune,50.5,74,Murder
2020,Pune,50.5,77,Murder
2021,Pune,50.5,100,Murder
2014,Surat,45.8,85,Murder
2015,Surat,45.8,90,Murder
2016,Surat,45.8,102,Murder
2017,Surat,45.8,89,Murder
2018,Surat,45.8,108,Murder
2019,Surat,45.8,97,Murder
2020,Surat,45.8,116,Murder
2021,Surat,45.8,121,Murder
2014,Ahmedabad,63.5,367,Kidnapping
2015,Ahmedabad,63.5,332,Kidnapping
2016,Ahmedabad,63.5,376,Kidnapping
2017,Ahmedabad,63.5,263,Kidnapping
2018,Ahmedabad,63.5,277,Kidnapping
2019,Ahmedabad,63.5,248,Kidnapping
2020,Ahmedabad,63.5,181,Kidnapping
2021,Ahmedabad,63.5,183,Kidnapping
2014,Bengaluru,85.0,708,Kidnapping
2015,Bengaluru,85.0,777,Kidnapping
2016,Bengaluru,85.0,974,Kidnapping
2017,Bengaluru,85.0,1050,Kidnapping
2018,Bengaluru,85.0,1090,Kidnapping
2019,Bengaluru,85.0,1053,Kidnapping
2020,Bengaluru,85.0,712,Kidnapping
2021,Bengaluru,85.0,811,Kidnapping
2014,Chennai,87.0,36,Kidnapping
2015,Chennai,87.0,37,Kidnapping
2016,Chennai,87.0,34,Kidnapping
2017,Chennai,87.0,54,Kidnapping
2018,Chennai,87.0,56,Kidnapping
2019,Chennai,87.0,49,Kidnapping
2020,Chennai,87.0,37,Kidnapping
2021,Chennai,87.0,71,Kidnapping
2014,Coimbatore,21.5,14,Kidnapping
2015,Coimbatore,21.5,10,Kidnapping
2016,Coimbatore,21.5,8,Kidnapping
2017,Coimbatore,21.5,5,Kidnapping
2018,Coimbatore,21.5,10,Kidnapping
2019,Coimbatore,21.5,7,Kidnapping
2020,Coimbatore,21.5,4,Kidnapping
2021,Coimbatore,21.5,11,Kidnapping
2014,Delhi,163.1,6016,Kidnapping
2015,Delhi,163.1,6630,Kidnapping
2016,Delhi,163.1,5925,Kidnapping
2017,Delhi,163.1,5203,Kidnapping
2018,Delhi,163.1,5124,Kidnapping
2019,Delhi,163.1,5746,Kidnapping
2020,Delhi,163.1,4011,Kidnapping
2021,Delhi,163.1,5475,Kidnapping
2014,Ghaziabad,23.6,276,Kidnapping
2015,Ghaziabad,23.6,315,Kidnapping
2016,Ghaziabad,23.6,368,Kidnapping
2017,Ghaziabad,23.6,532,Kidnapping
2018,Ghaziabad,23.6,547,Kidnapping
2019,Ghaziabad,23.6,408,Kidnapping
2020,Ghaziabad,23.6,78,Kidnapping
2021,Ghaziabad,23.6,50,Kidnapping
2014,Hyderabad,77.5,374,Kidnapping
2015,Hyderabad,77.5,332,Kidnapping
2016,Hyderabad,77.5,359,Kidnapping
2017,Hyderabad,77.5,341,Kidnapping
2018,Hyderabad,77.5,411,Kidnapping
2019,Hyderabad,77.5,519,Kidnapping
2020,Hyderabad,77.5,451,Kidnapping
2021,Hyderabad,77.5,513,Kidnapping
2014,Indore,21.7,439,Kidnapping
2015,Indore,21.7,453,Kidnapping
2016,Indore,21.7,383,Kidnapping
2017,Indore,21.7,669,Kidnapping
2018,Indore,21.7,523,Kidnapping
2019,Indore,21.7,585,Kidnapping
2020,Indore,21.7,466,Kidnapping
2021,Indore,21.7,694,Kidnapping
2014,Jaipur,30.7,653,Kidnapping
2015,Jaipur,30.7,630,Kidnapping
2016,Jaipur,30.7,569,Kidnapping
2017,Jaipur,30.7,520,Kidnapping
2018,Jaipur,30.7,537,Kidnapping
2019,Jaipur,30.7,829,Kidnapping
2020,Jaipur,30.7,532,Kidnapping
2021,Jaipur,30.7,613,Kidnapping
2014,Kanpur,29.2,233,Kidnapping
2015,Kanpur,29.2,259,Kidnapping
2016,Kanpur,29.2,409,Kidnapping
2017,Kanpur,29.2,541,Kidnapping
2018,Kanpur,29.2,541,Kidnapping
2019,Kanpur,29.2,292,Kidnapping
2020,Kanpur,29.2,223,Kidnapping
2021,Kanpur,29.2,152,Kidnapping
2014,Kochi,21.2,4,Kidnapping
2015,Kochi,21.2,13,Kidnapping
2016,Kochi,21.2,14,Kidnapping
2017,Kochi,21.2,19,Kidnapping
2018,Kochi,21.2,11,Kidnapping
2019,Kochi,21.2,21,Kidnapping
2020,Kochi,21.2,15,Kidnapping
2021,Kochi,21.2,13,Kidnapping
2014,Kolkata,141.1,343,Kidnapping
2015,Kolkata,141.1,312,Kidnapping
2016,Kolkata,141.1,290,Kidnapping
2017,Kolkata,141.1,374,Kidnapping
2018,Kolkata,141.1,378,Kidnapping
2019,Kolkata,141.1,220,Kidnapping
2020,Kolkata,141.1,308,Kidnapping
2021,Kolkata,141.1,346,Kidnapping
2014,Kozhikode,20.3,2,Kidnapping
2015,Kozhikode,20.3,10,Kidnapping
2016,Kozhikode,20.3,7,Kidnapping
2017,Kozhikode,20.3,13,Kidnapping
2018,Kozhikode,20.3,19,Kidnapping
2019,Kozhikode,20.3,27,Kidnapping
2020,Kozhikode,20.3,12,Kidnapping
2021,Kozhikode,20.3,21,Kidnapping
2014,Lucknow,29.0,348,Kidnapping
2015,Lucknow,29.0,285,Kidnapping
2016,Lucknow,29.0,924,Kidnapping
2017,Lucknow,29.0,684,Kidnapping
2018,Lucknow,29.0,1112,Kidnapping
2019,Lucknow,29.0,269,Kidnapping
2020,Lucknow,29.0,735,Kidnapping
2021,Lucknow,29.0,773,Kidnapping
2014,Mumbai,184.1,541,Kidnapping
2015,Mumbai,184.1,1583,Kidnapping
2016,Mumbai,184.1,1949,Kidnapping
2017,Mumbai,184.1,2159,Kidnapping
2018,Mumbai,184.1,2202,Kidnapping
2019,Mumbai,184.1,2102,Kidnapping
2020,Mumbai,184.1,1173,Kidnapping
2021,Mumbai,184.1,1590,Kidnapping
2014,Nagpur,25.0,145,Kidnapping
2015,Nagpur,25.0,355,Kidnapping
2016,Nagpur,25.0,509,Kidnapping
2017,Nagpur,25.0,494,Kidnapping
2018,Nagpur,25.0,498,Kidnapping
2019,Nagpur,25.0,536,Kidnapping
2020,Nagpur,25.0,334,Kidnapping
2021,Nagpur,25.0,415,Kidnapping
2014,Patna,20.5,599,Kidnapping
2015,Patna,20.5,869,Kidnapping
2016,Patna,20.5,822,Kidnapping
2017,Patna,20.5,542,Kidnapping
2018,Patna,20.5,806,Kidnapping
2019,Patna,20.5,795,Kidnapping
2020,Patna,20.5,427,Kidnapping
2021,Patna,20.5,549,Kidnapping
2014,Pune,50.5,228,Kidnapping
2015,Pune,50.5,707,Kidnapping
2016,Pune,50.5,851,Kidnapping
2017,Pune,50.5,964,Kidnapping
2018,Pune,50.5,636,Kidnapping
2019,Pune,50.5,655,Kidnapping
2020,Pune,50.5,435,Kidnapping
2021,Pune,50.5,571,Kidnapping
2014,Surat,45.8,263,Kidnapping
2015,Surat,45.8,247,Kidnapping
2016,Surat,45.8,270,Kidnapping
2017,Surat,45.8,332,Kidnapping
2018,Surat,45.8,373,Kidnapping
2019,Surat,45.8,358,Kidnapping
2020,Surat,45.8,163,Kidnapping
2021,Surat,45.8,270,Kidnapping
2014,Ahmedabad,63.5,1371,Crime against women
2015,Ahmedabad,63.5,1067,Crime against women
2016,Ahmedabad,63.5,1126,Crime against women
2017,Ahmedabad,63.5,1405,Crime against women
2018,Ahmedabad,63.5,1416,Crime against women
2019,Ahmedabad,63.5,1633,Crime against women
2020,Ahmedabad,63.5,1524,Crime against women
2021,Ahmedabad,63.5,1554,Crime against women
2014,Bengaluru,85.0,3100,Crime against women
2015,Bengaluru,85.0,3109,Crime against women
2016,Bengaluru,85.0,3412,Crime against women
2017,Bengaluru,85.0,3565,Crime against women
2018,Bengaluru,85.0,3427,Crime against women
2019,Bengaluru,85.0,3486,Crime against women
2020,Bengaluru,85.0,2730,Crime against women
2021,Bengaluru,85.0,3127,Crime against women
2014,Chennai,87.0,906,Crime against women
2015,Chennai,87.0,533,Crime against women
2016,Chennai,87.0,544,Crime against women
2017,Chennai,87.0,642,Crime against women
2018,Chennai,87.0,761,Crime against women
2019,Chennai,87.0,723,Crime against women
2020,Chennai,87.0,576,Crime against women
2021,Chennai,87.0,874,Crime against women
2014,Coimbatore,21.5,105,Crime against women
2015,Coimbatore,21.5,109,Crime against women
2016,Coimbatore,21.5,102,Crime against women
2017,Coimbatore,21.5,76,Crime against women
2018,Coimbatore,21.5,107,Crime against women
2019,Coimbatore,21.5,85,Crime against women
2020,Coimbatore,21.5,97,Crime against women
2021,Coimbatore,21.5,190,Crime against women
2014,Delhi,163.1,13260,Crime against women
2015,Delhi,163.1,13502,Crime against women
2016,Delhi,163.1,13803,Crime against women
2017,Delhi,163.1,11542,Crime against women
2018,Delhi,163.1,11724,Crime against women
2019,Delhi,163.1,12902,Crime against women
2020,Delhi,163.1,9782,Crime against women
2021,Delhi,163.1,13982,Crime against women
2014,Ghaziabad,23.6,1027,Crime against women
2015,Ghaziabad,23.6,904,Crime against women
2016,Ghaziabad,23.6,1031,Crime against women
2017,Ghaziabad,23.6,1166,Crime against women
2018,Ghaziabad,23.6,1128,Crime against women
2019,Ghaziabad,23.6,793,Crime against women
2020,Ghaziabad,23.6,341,Crime against women
2021,Ghaziabad,23.6,591,Crime against women
2014,Hyderabad,77.5,2128,Crime against women
2015,Hyderabad,77.5,2450,Crime against women
2016,Hyderabad,77.5,2419,Crime against women
2017,Hyderabad,77.5,2272,Crime against women
2018,Hyderabad,77.5,2332,Crime against women
2019,Hyderabad,77.5,2755,Crime against women
2020,Hyderabad,77.5,2390,Crime against women
2021,Hyderabad,77.5,3050,Crime against women
2014,Indore,21.7,941,Crime against women
2015,Indore,21.7,929,Crime against women
2016,Indore,21.7,1055,Crime against women
2017,Indore,21.7,1349,Crime against women
2018,Indore,21.7,1593,Crime against women
2019,Indore,21.7,1755,Crime against women
2020,Indore,21.7,1346,Crime against women
2021,Indore,21.7,1794,Crime against women
2014,Jaipur,30.7,2428,Crime against women
2015,Jaipur,30.7,2201,Crime against women
2016,Jaipur,30.7,2090,Crime against women
2017,Jaipur,30.7,1857,Crime against women
2018,Jaipur,30.7,2030,Crime against women
2019,Jaipur,30.7,3417,Crime against women
2020,Jaipur,30.7,2369,Crime against women
2021,Jaipur,30.7,2827,Crime against women
2014,Kanpur,29.2,859,Crime against women
2015,Kanpur,29.2,817,Crime against women
2016,Kanpur,29.2,1050,Crime against women
2017,Kanpur,29.2,1574,Crime against women
2018,Kanpur,29.2,1574,Crime against women
2019,Kanpur,29.2,1315,Crime against women
2020,Kanpur,29.2,1056,Crime against women
2021,Kanpur,29.2,894,Crime against women
2014,Kochi,21.2,464,Crime against women
2015,Kochi,21.2,408,Crime against women
2016,Kochi,21.2,392,Crime against women
2017,Kochi,21.2,535,Crime against women
2018,Kochi,21.2,537,Crime against women
2019,Kochi,21.2,492,Crime against women
2020,Kochi,21.2,403,Crime against women
2021,Kochi,21.2,531,Crime against women
2014,Kolkata,141.1,2353,Crime against women
2015,Kolkata,141.1,1927,Crime against women
2016,Kolkata,141.1,1693,Crime against women
2017,Kolkata,141.1,1975,Crime against women
2018,Kolkata,141.1,2176,Crime against women
2019,Kolkata,141.1,1474,Crime against women
2020,Kolkata,141.1,2001,Crime against women
2021,Kolkata,141.1,1783,Crime against women
2014,Kozhikode,20.3,343,Crime against women
2015,Kozhikode,20.3,363,Crime against women
2016,Kozhikode,20.3,352,Crime against women
2017,Kozhikode,20.3,347,Crime against women
2018,Kozhikode,20.3,349,Crime against women
2019,Kozhikode,20.3,473,Crime against women
2020,Kozhikode,20.3,394,Crime against women
2021,Kozhikode,20.3,632,Crime against women
2014,Lucknow,29.0,1260,Crime against women
2015,Lucknow,29.0,1461,Crime against women
2016,Lucknow,29.0,2205,Crime against women
2017,Lucknow,29.0,2468,Crime against women
2018,Lucknow,29.0,2736,Crime against women
2019,Lucknow,29.0,2425,Crime against women
2020,Lucknow,29.0,2636,Crime against women
2021,Lucknow,29.0,2161,Crime against women
2014,Mumbai,184.1,3974,Crime against women
2015,Mumbai,184.1,4819,Crime against women
2016,Mumbai,184.1,5128,Crime against women
2017,Mumbai,184.1,5453,Crime against women
2018,Mumbai,184.1,6058,Crime against women
2019,Mumbai,184.1,6519,Crime against women
2020,Mumbai,184.1,4583,Crime against women
2021,Mumbai,184.1,5543,Crime against women
2014,Nagpur,25.0,814,Crime against women
2015,Nagpur,25.0,1312,Crime against women
2016,Nagpur,25.0,1379,Crime against women
2017,Nagpur,25.0,1152,Crime against women
2018,Nagpur,25.0,1083,Crime against women
2019,Nagpur,25.0,1144,Crime against women
2020,Nagpur,25.0,920,Crime against women
2021,Nagpur,25.0,1156,Crime against women
2014,Patna,20.5,1031,Crime against women
2015,Patna,20.5,1340,Crime against women
2016,Patna,20.5,1284,Crime against women
2017,Patna,20.5,870,Crime against women
2018,Patna,20.5,956,Crime against women
2019,Patna,20.5,981,Crime against women
2020,Patna,20.5,495,Crime against women
2021,Patna,20.5,487,Crime against women
2014,Pune,50.5,1327,Crime against women
2015,Pune,50.5,1984,Crime against women
2016,Pune,50.5,2131,Crime against women
2017,Pune,50.5,2032,Crime against women
2018,Pune,50.5,1481,Crime against women
2019,Pune,50.5,1390,Crime against women
2020,Pune,50.5,1055,Crime against women
2021,Pune,50.5,1616,Crime against women
2014,Surat,45.8,694,Crime against women
2015,Surat,45.8,502,Crime against women
2016,Surat,45.8,565,Crime against women
2017,Surat,45.8,559,Crime against women
2018,Surat,45.8,712,Crime against women
2019,Surat,45.8,1015,Crime against women
2020,Surat,45.8,633,Crime against women
2021,Surat,45.8,622,Crime against women
2014,Ahmedabad,63.5,437,Crime against children
2015,Ahmedabad,63.5,609,Crime against children
2016,Ahmedabad,63.5,481,Crime against children
2017,Ahmedabad,63.5,600,Crime against children
2018,Ahmedabad,63.5,733,Crime against children
2019,Ahmedabad,63.5,771,Crime against children
2020,Ahmedabad,63.5,603,Crime against children
2021,Ahmedabad,63.5,691,Crime against children
2014,Bengaluru,85.0,1063,Crime against children
2015,Bengaluru,85.0,1086,Crime against children
2016,Bengaluru,85.0,1333,Crime against children
2017,Bengaluru,85.0,1582,Crime against children
2018,Bengaluru,85.0,1815,Crime against children
2019,Bengaluru,85.0,1488,Crime against children
2020,Bengaluru,85.0,1103,Crime against children
2021,Bengaluru,85.0,1342,Crime against children
2014,Chennai,87.0,205,Crime against children
2015,Chennai,87.0,194,Crime against children
2016,Chennai,87.0,230,Crime against children
2017,Chennai,87.0,249,Crime against children
2018,Chennai,87.0,775,Crime against children
2019,Chennai,87.0,731,Crime against children
2020,Chennai,87.0,306,Crime against children
2021,Chennai,87.0,546,Crime against children
2014,Coimbatore,21.5,22,Crime against children
2015,Coimbatore,21.5,38,Crime against children
2016,Coimbatore,21.5,69,Crime against children
2017,Coimbatore,21.5,32,Crime against children
2018,Coimbatore,21.5,39,Crime against children
2019,Coimbatore,21.5,45,Crime against children
2020,Coimbatore,21.5,111,Crime against children
2021,Coimbatore,21.5,106,Crime against children
2014,Delhi,163.1,8139,Crime against children
2015,Delhi,163.1,8035,Crime against children
2016,Delhi,163.1,7392,Crime against children
2017,Delhi,163.1,6844,Crime against children
2018,Delhi,163.1,6853,Crime against children
2019,Delhi,163.1,7565,Crime against children
2020,Delhi,163.1,5256,Crime against children
2021,Delhi,163.1,7029,Crime against children
2014,Ghaziabad,23.6,191,Crime against children
2015,Ghaziabad,23.6,180,Crime against children
2016,Ghaziabad,23.6,130,Crime against children
2017,Ghaziabad,23.6,42,Crime against children
2018,Ghaziabad,23.6,85,Crime against children
2019,Ghaziabad,23.6,501,Crime against children
2020,Ghaziabad,23.6,140,Crime against children
2021,Ghaziabad,23.6,136,Crime against children
2014,Hyderabad,77.5,463,Crime against children
2015,Hyderabad,77.5,486,Crime against children
2016,Hyderabad,77.5,410,Crime against children
2017,Hyderabad,77.5,385,Crime against children
2018,Hyderabad,77.5,491,Crime against children
2019,Hyderabad,77.5,506,Crime against children
2020,Hyderabad,77.5,467,Crime against children
2021,Hyderabad,77.5,621,Crime against children
2014,Indore,21.7,730,Crime against children
2015,Indore,21.7,478,Crime against children
2016,Indore,21.7,631,Crime against children
2017,Indore,21.7,782,Crime against children
2018,Indore,21.7,962,Crime against children
2019,Indore,21.7,967,Crime against children
2020,Indore,21.7,767,Crime against children
2021,Indore,21.7,1081,Crime against children
2014,Jaipur,30.7,646,Crime against children
2015,Jaipur,30.7,747,Crime against children
2016,Jaipur,30.7,699,Crime against children
2017,Jaipur,30.7,679,Crime against children
2018,Jaipur,30.7,615,Crime against children
2019,Jaipur,30.7,910,Crime against children
2020,Jaipur,30.7,691,Crime against children
2021,Jaipur,30.7,728,Crime against children
2014,Kanpur,29.2,147,Crime against children
2015,Kanpur,29.2,150,Crime against children
2016,Kanpur,29.2,189,Crime against children
2017,Kanpur,29.2,303,Crime against children
2018,Kanpur,29.2,303,Crime against children
2019,Kanpur,29.2,276,Crime against children
2020,Kanpur,29.2,205,Crime against children
2021,Kanpur,29.2,196,Crime against children
2014,Kochi,21.2,75,Crime against children
2015,Kochi,21.2,76,Crime against children
2016,Kochi,21.2,86,Crime against children
2017,Kochi,21.2,138,Crime against children
2018,Kochi,21.2,139,Crime against children
2019,Kochi,21.2,176,Crime against children
2020,Kochi,21.2,126,Crime against children
2021,Kochi,21.2,138,Crime against children
2014,Kolkata,141.1,352,Crime against children
2015,Kolkata,141.1,381,Crime against children
2016,Kolkata,141.1,317,Crime against children
2017,Kolkata,141.1,643,Crime against children
2018,Kolkata,141.1,574,Crime against children
2019,Kolkata,141.1,282,Crime against children
2020,Kolkata,141.1,486,Crime against children
2021,Kolkata,141.1,497,Crime against children
2014,Kozhikode,20.3,68,Crime against children
2015,Kozhikode,20.3,88,Crime against children
2016,Kozhikode,20.3,92,Crime against children
2017,Kozhikode,20.3,132,Crime against children
2018,Kozhikode,20.3,157,Crime against children
2019,Kozhikode,20.3,199,Crime against children
2020,Kozhikode,20.3,137,Crime against children
2021,Kozhikode,20.3,162,Crime against children
2014,Lucknow,29.0,146,Crime against children
2015,Lucknow,29.0,140,Crime against children
2016,Lucknow,29.0,956,Crime against children
2017,Lucknow,29.0,673,Crime against children
2018,Lucknow,29.0,706,Crime against children
2019,Lucknow,29.0,310,Crime against children
2020,Lucknow,29.0,604,Crime against children
2021,Lucknow,29.0,633,Crime against children
2014,Mumbai,184.1,1456,Crime against children
2015,Mumbai,184.1,3187,Crime against children
2016,Mumbai,184.1,3400,Crime against children
2017,Mumbai,184.1,3790,Crime against children
2018,Mumbai,184.1,3511,Crime against children
2019,Mumbai,184.1,3640,Crime against children
2020,Mumbai,184.1,2248,Crime against children
2021,Mumbai,184.1,2762,Crime against children
2014,Nagpur,25.0,411,Crime against children
2015,Nagpur,25.0,693,Crime against children
2016,Nagpur,25.0,693,Crime against children
2017,Nagpur,25.0,725,Crime against children
2018,Nagpur,25.0,699,Crime against children
